2010,,10-14-0038,,,20.2992001,-105.2740021,,Jalisco,Cabo Corrientes,,Cazadores,,2010-04-18,18,2010-04-19,19,1,,00:00:00,00:00:00,00:00:00,Superficial,Bosque Templado Fr�o,,,,0.0,0.0,5.0,5.0,0.0,10.0,,No,0.0,,,0.0,0.0,0.0,0,0,0,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,Occidente
2010,,10-14-0039,,,20.2999992,-105.1080017,,Jalisco,Cabo Corrientes,,Cazadores,,2010-04-26,26,2010-04-27,27,1,,00:00:00,00:00:00,00:00:00,Superficial,Bosque Templado Fr�o,,,,0.0,0.0,10.0,0.0,0.0,10.0,,No,0.0,,,0.0,0.0,0.0,0,0,0,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,Occidente
2010,,10-14-0040,,,20.2952995,-105.2740021,,Jalisco,Cabo Corrientes,,Cazadores,,2010-05-04,4,2010-05-05,5,1,,00:00:00,00:00:00,00:00:00,Superficial,Bosque Templado Fr�o,,,,0.0,0.0,5.0,0.0,0.0,5.0,,No,0.0,,,0.0,0.0,0.0,0,0,0,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,Occidente
2013,,13-14-0555,,,22.3169003,-103.9690018,,Jalisco,Mezquitic,Carricitos,Actividades Agropecuarias,Quema para preparación de siembra,2013-05-29,29,2013-05-30,30,1,,00:00:00,00:00:00,00:00:00,Superficial,Bosque de Pino Encino,,,,1.0,0.0,4.0,0.0,10.0,15.0,,,0.0,,,0.0,0.0,0.0,0,0,0,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,Occidente
2013,,13-14-0516,,,22.3124008,-103.9990005,,Jalisco,Mezquitic,Las Guacamayas,Actividades Agropecuarias,Quema para preparación de siembra,2013-05-22,22,2013-05-26,26,4,,00:00:00,00:00:00,1900-01-04 00:00:00,Superficial,Bosque de Pino Encino,,,,35.0,15.0,35.0,0.0,150.0,235.0,,,0.0,,,0.0,0.0,0.0,0,0,0,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,Occidente
2019,424,19-14-0424,,,22.3075008,-103.9960022,61,Jalisco,Mezquitic,Bajio del Coyote,Actividades Agropecuarias,Quema para preparación de siembra,2019-05-17,17,2019-05-24,24,7,,00:00:00,00:00:00,1900-01-06 00:00:00,Mixto,Bosque de Pino Encino,,,Impacto Mínimo,97.68,0.0,300.0,1500.0,400.0,2298.0,Mayor a 100,Cuenca Alimentadora del Distrito Nacional de Rieg*,1301.5899658,,,35021.1992188,78724.5,1253200.0,28,0,0,123,,0,0,0.0,0,0,0,0,0,0,0,40,0,0,56,0,0,0,0,247.0,63569.0,0,0,0,0,0,0,0,0,0,Occidente
2010,,10-14-0044,,,19.593399,-104.4020004,,Jalisco,Casimiro Castillo,,Cazadores,,2010-05-12,12,2010-05-13,13,1,,00:00:00,00:00:00,00:00:00,Superficial,Bosque Templado Fr�o,,,,0.0,0.0,0.0,18.0,0.0,18.0,,Si,0.0,,,0.0,0.0,0.0,0,0,0,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,Occidente
2011,,11-14-0375,,,22.3061008,-104.052002,,Jalisco,Mezquitic,,Actividades Agropecuarias,,2011-05-12,12,2011-05-14,14,2,,00:00:00,00:00:00,1900-01-02 00:00:00,Superficial,Bosque de Encino,,,,0.0,0.0,0.0,20.0,0.0,20.0,,,0.0,,,0.0,0.0,0.0,0,0,0,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,Occidente
2010,,10-14-0046,,,19.9694004,-103.7539978,,Jalisco,Cihuatl�n,,Fumadores,,2010-04-25,25,2010-04-25,25,1,,00:00:00,00:00:00,00:00:00,Superficial,Bosque Templado Fr�o,,,,1.0,0.0,9.0,0.0,0.0,10.0,,No,0.0,,,0.0,0.0,0.0,0,0,0,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,Occidente
2010,,10-14-0047,,,19.9850006,-103.8059998,,Jalisco,Cihuatl�n,,Rencillas,,2010-04-30,30,2010-04-30,30,1,,00:00:00,00:00:00,00:00:00,Superficial,Bosque Templado Fr�o,,,,0.0,0.5,0.5,0.0,0.0,1.0,,No,0.0,,,0.0,0.0,0.0,0,0,0,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,Occidente
